inventory_id,part_id,warehouse_id,depot_id,available_qty,reserved_qty,in_transit_qty,obsolete_qty,stockout_flag,days_of_cover
INV-0001,BG-METER-001,W-GLA,D-MID,491,414,57,58,False,2.9
INV-0002,BG-VALVE-002,W-LON,D-WAL,370,331,131,1,True,2.3
INV-0003,BG-EV-003,W-MAN,D-SCO,1777,377,172,72,False,19.7
INV-0004,BG-BOILE-004,W-GLA,D-WAL,1638,345,98,81,False,40.0
INV-0005,BG-BOILE-005,W-COV,D-STH,124,114,207,65,True,2.6
INV-0006,BG-EV-006,W-LON,D-WAL,955,167,44,12,False,16.2
INV-0007,BG-PIPEW-007,W-LON,D-LON,1034,94,71,31,False,17.8
INV-0008,BG-EV-008,W-COV,D-MID,1041,3,133,57,False,23.4
INV-0009,BG-PIPEW-009,W-LON,D-SCO,753,385,136,38,False,5.5
INV-0010,BG-EV-010,W-COV,D-NTH,1624,298,5,46,False,32.4
INV-0011,BG-BOILE-011,W-GLA,D-LON,524,354,120,15,False,10.9
INV-0012,BG-SENSO-012,W-MAN,D-WAL,643,238,157,87,False,16.7
INV-0013,BG-PIPEW-013,W-MAN,D-STH,1325,257,159,81,False,16.9
INV-0014,BG-PIPEW-014,W-GLA,D-LON,1331,151,188,28,False,20.5
INV-0015,BG-METER-015,W-MAN,D-MID,707,68,244,77,False,26.6
INV-0016,BG-VALVE-016,W-COV,D-STH,1047,191,212,60,False,14.6
INV-0017,BG-METER-017,W-MAN,D-STH,323,275,111,87,False,2.0
INV-0018,BG-PUMP-018,W-LON,D-MID,917,386,41,67,False,9.5
INV-0019,BG-SENSO-019,W-LON,D-SCO,1718,360,185,72,False,55.7
INV-0020,BG-EV-020,W-MAN,D-NTH,339,57,31,64,True,3.8
INV-0021,BG-BOILE-021,W-COV,D-NTH,1143,103,76,66,False,32.8
INV-0022,BG-BOILE-022,W-COV,D-MID,1059,226,59,74,False,12.4
INV-0023,BG-EV-023,W-GLA,D-MID,857,250,46,57,False,7.5
INV-0024,BG-PUMP-024,W-MAN,D-MID,660,414,28,65,False,5.0
INV-0025,BG-BOILE-025,W-LON,D-WAL,1433,212,233,71,False,23.0
INV-0026,BG-BOILE-026,W-LON,D-LON,1718,236,157,50,False,21.9
INV-0027,BG-EV-027,W-LON,D-LON,105,32,1,74,True,1.0
INV-0028,BG-BOILE-028,W-MAN,D-NTH,1302,37,23,89,False,24.3
INV-0029,BG-PUMP-029,W-COV,D-WAL,1176,32,30,8,False,13.0
INV-0030,BG-METER-030,W-LON,D-NTH,807,241,16,23,False,13.5
INV-0031,BG-METER-031,W-GLA,D-MID,714,393,69,82,False,5.0
INV-0032,BG-BOILE-032,W-LON,D-STH,1708,215,191,48,False,17.8
INV-0033,BG-VALVE-033,W-COV,D-MID,83,57,193,87,True,4.4
INV-0034,BG-BOILE-034,W-GLA,D-LON,1677,338,68,44,False,20.2
INV-0035,BG-EV-035,W-GLA,D-NTH,1773,60,91,50,False,19.1
INV-0036,BG-BOILE-036,W-GLA,D-MID,1530,270,65,28,False,17.6
INV-0037,BG-PUMP-037,W-COV,D-SCO,1648,1,11,59,False,17.7
INV-0038,BG-SENSO-038,W-GLA,D-STH,665,344,217,29,False,8.8
INV-0039,BG-METER-039,W-GLA,D-SCO,349,126,235,35,True,9.7
INV-0040,BG-BOILE-040,W-COV,D-LON,1267,96,57,84,False,50.4
INV-0041,BG-PIPEW-041,W-COV,D-MID,71,53,8,8,True,0.7
INV-0042,BG-BOILE-042,W-MAN,D-STH,749,51,17,86,False,13.1
INV-0043,BG-PUMP-043,W-GLA,D-SCO,1183,360,24,5,False,21.2
INV-0044,BG-METER-044,W-LON,D-WAL,61,25,224,27,True,6.6
INV-0045,BG-PUMP-045,W-GLA,D-STH,1449,386,28,37,False,33.9
INV-0046,BG-PUMP-046,W-COV,D-STH,933,119,163,86,False,15.2
INV-0047,BG-EV-047,W-GLA,D-MID,1134,419,164,18,False,22.4
INV-0048,BG-PIPEW-048,W-MAN,D-LON,1633,338,113,35,False,27.0
INV-0049,BG-VALVE-049,W-LON,D-WAL,61,3,89,54,True,2.2
INV-0050,BG-VALVE-050,W-LON,D-SCO,641,284,253,44,False,24.0
INV-0051,BG-EV-051,W-LON,D-STH,1323,329,195,40,False,15.0
INV-0052,BG-SENSO-052,W-COV,D-LON,1580,356,213,38,False,27.7
INV-0053,BG-SENSO-053,W-GLA,D-WAL,668,192,94,60,False,7.4
INV-0054,BG-METER-054,W-MAN,D-STH,1308,123,115,90,False,29.6
INV-0055,BG-METER-055,W-MAN,D-STH,1220,73,237,71,False,15.6
INV-0056,BG-SENSO-056,W-COV,D-LON,1733,211,213,17,False,27.7
