job_id,customer_id,region,postcode,job_type,priority,SLA_window,requested_date,scheduled_date,engineer_id,required_part_id,job_status,completion_status,first_time_fix_flag,delay_reason
J-00001,CU-6213,South,OX29 2HC,Install,Critical,Same Day,2026-06-12T08:00,2026-06-11T11:00,E-0082,BG-EV-063,Scheduled,Failed Visit,False,Weather
J-00002,CU-8066,Scotland,EH78 7CA,Repair,Medium,Same Day,2026-06-07T08:00,2026-06-14T17:00,E-0093,BG-VALVE-062,Rescheduled,Failed Visit,True,Engineer absence
J-00003,CU-2404,Scotland,AB70 7KD,Smart Meter Exchange,Critical,48h,2026-06-17T08:00,2026-06-14T17:00,E-0088,BG-SENSO-061,At Risk,Open,True,Weather
J-00004,CU-7874,Scotland,G54 3CK,Smart Meter Exchange,Critical,4h,2026-06-19T08:00,2026-06-04T13:00,E-0112,BG-METER-055,Rescheduled,Failed Visit,True,Weather
J-00005,CU-9442,London,N9 5JG,Service,Critical,Same Day,2026-06-07T08:00,2026-06-07T09:00,E-0032,BG-METER-039,Scheduled,Customer Cancelled,True,None
J-00006,CU-8520,Wales,LL28 8EJ,Smart Meter Exchange,Low,4h,2026-06-01T08:00,2026-06-17T14:00,E-0072,BG-EV-035,Rescheduled,Failed Visit,True,Traffic
J-00007,CU-3999,Midlands,DE84 2DF,Service,Medium,48h,2026-06-11T08:00,2026-06-12T13:00,E-0075,BG-SENSO-038,Completed,Customer Cancelled,True,None
J-00008,CU-8105,Wales,NP52 7HG,Repair,Critical,Same Day,2026-06-12T08:00,2026-06-01T14:00,E-0097,BG-BOILE-026,Rescheduled,Open,False,None
J-00009,CU-1152,Wales,LL54 2JE,Smart Meter Exchange,High,48h,2026-06-04T08:00,2026-06-17T10:00,E-0037,BG-EV-003,Scheduled,Complete,False,Weather
J-00010,CU-8171,Scotland,IV35 2FF,Service,Critical,48h,2026-06-13T08:00,2026-06-15T13:00,E-0107,BG-PIPEW-013,At Risk,Customer Cancelled,True,Weather
J-00011,CU-6542,Midlands,NG67 2GD,Emergency,Medium,48h,2026-06-05T08:00,2026-06-18T09:00,E-0002,BG-PUMP-024,In Progress,Customer Cancelled,True,Weather
J-00012,CU-8474,Midlands,DE47 1DH,Install,Low,Next Day,2026-06-15T08:00,2026-06-04T10:00,E-0098,BG-BOILE-057,In Progress,Complete,True,Traffic
J-00013,CU-6617,South,SO58 3CG,Smart Meter Exchange,Medium,Next Day,2026-06-18T08:00,2026-06-21T12:00,E-0026,BG-PIPEW-076,In Progress,Failed Visit,True,Engineer absence
J-00014,CU-6122,South,OX7 1ED,Smart Meter Exchange,Low,Same Day,2026-06-12T08:00,2026-06-19T17:00,E-0095,BG-VALVE-033,Rescheduled,Open,True,Engineer absence
J-00015,CU-4495,London,SE43 6ED,Smart Meter Exchange,Low,4h,2026-06-04T08:00,2026-06-12T16:00,E-0031,BG-SENSO-060,Rescheduled,Open,True,None
J-00016,CU-7678,South,RG58 7GF,Repair,Low,4h,2026-06-18T08:00,2026-06-01T10:00,E-0097,BG-PUMP-081,Rescheduled,Complete,True,Engineer absence
J-00017,CU-4014,London,N79 5DB,Service,Critical,48h,2026-06-18T08:00,2026-06-03T13:00,E-0086,BG-EV-082,Scheduled,Failed Visit,False,None
J-00018,CU-7637,Midlands,NG28 1JE,Smart Meter Exchange,Low,Same Day,2026-06-12T08:00,2026-06-13T12:00,E-0115,BG-BOILE-036,Rescheduled,Failed Visit,True,Parts unavailable
J-00019,CU-4651,Wales,SY52 6FH,Emergency,Critical,Same Day,2026-06-15T08:00,2026-06-06T12:00,E-0010,BG-EV-006,Rescheduled,Failed Visit,True,Parts unavailable
J-00020,CU-4548,Wales,NP78 8HC,Service,Low,Same Day,2026-06-19T08:00,2026-06-06T17:00,E-0034,BG-PIPEW-083,In Progress,Failed Visit,True,Weather
J-00021,CU-7971,North,LS33 8DB,Install,Low,Next Day,2026-06-07T08:00,2026-06-01T09:00,E-0074,BG-BOILE-005,Rescheduled,Complete,True,Carrier delay
J-00022,CU-1086,North,M19 8KG,Repair,Critical,Next Day,2026-06-08T08:00,2026-06-12T10:00,E-0078,BG-VALVE-062,Scheduled,Customer Cancelled,False,Weather
J-00023,CU-5222,Scotland,IV74 5HG,Smart Meter Exchange,Low,Same Day,2026-06-11T08:00,2026-06-15T16:00,E-0115,BG-PIPEW-009,Rescheduled,Complete,True,Weather
J-00024,CU-2747,Scotland,G11 8KA,Smart Meter Exchange,Critical,48h,2026-06-12T08:00,2026-06-20T14:00,E-0064,BG-PUMP-071,Rescheduled,Failed Visit,False,Weather
J-00025,CU-5422,North,LS72 7GD,Service,High,48h,2026-06-01T08:00,2026-06-06T15:00,E-0064,BG-PIPEW-013,In Progress,Failed Visit,True,Weather
J-00026,CU-6527,London,SW81 7BB,Service,Medium,Same Day,2026-06-11T08:00,2026-06-11T13:00,E-0091,BG-PUMP-045,Completed,Customer Cancelled,True,Traffic
J-00027,CU-9856,North,NE71 8CJ,Service,Low,48h,2026-06-17T08:00,2026-06-21T17:00,E-0040,BG-PIPEW-007,Completed,Customer Cancelled,True,Carrier delay
J-00028,CU-2297,London,SW81 4JK,Install,Medium,Next Day,2026-06-14T08:00,2026-06-07T10:00,E-0024,BG-SENSO-061,In Progress,Failed Visit,True,None
J-00029,CU-4263,Midlands,LE95 2JD,Emergency,Low,Next Day,2026-06-11T08:00,2026-06-06T09:00,E-0096,BG-BOILE-040,Rescheduled,Complete,True,Traffic
J-00030,CU-5828,North,YO90 8DK,Service,Medium,Next Day,2026-06-15T08:00,2026-06-09T17:00,E-0021,BG-METER-044,Scheduled,Open,True,Weather
J-00031,CU-5193,Midlands,B47 4KB,Repair,High,48h,2026-06-03T08:00,2026-06-15T09:00,E-0047,BG-PUMP-071,Rescheduled,Customer Cancelled,True,Traffic
J-00032,CU-4943,North,YO70 4GJ,Install,Medium,48h,2026-06-15T08:00,2026-06-13T09:00,E-0093,BG-PUMP-046,Scheduled,Failed Visit,True,Carrier delay
J-00033,CU-2974,North,LS96 1GA,Install,Critical,Next Day,2026-06-18T08:00,2026-06-19T11:00,E-0042,BG-SENSO-052,Rescheduled,Open,True,Parts unavailable
J-00034,CU-8245,North,YO19 8AD,Service,Medium,Same Day,2026-06-03T08:00,2026-06-04T09:00,E-0032,BG-BOILE-026,Rescheduled,Open,True,Traffic
J-00035,CU-8940,Scotland,IV69 2CD,Smart Meter Exchange,Low,4h,2026-06-02T08:00,2026-06-08T17:00,E-0040,BG-VALVE-049,Completed,Customer Cancelled,True,Weather
J-00036,CU-9869,Scotland,EH18 5JC,Emergency,High,Same Day,2026-06-11T08:00,2026-06-03T17:00,E-0069,BG-SENSO-072,Scheduled,Open,True,Traffic
J-00037,CU-8005,Midlands,LE6 7FG,Smart Meter Exchange,Critical,4h,2026-06-15T08:00,2026-06-15T09:00,E-0113,BG-BOILE-084,In Progress,Customer Cancelled,True,Engineer absence
J-00038,CU-7292,Wales,SY79 3GJ,Emergency,Critical,Same Day,2026-06-11T08:00,2026-06-19T11:00,E-0021,BG-PIPEW-075,In Progress,Open,True,Engineer absence
J-00039,CU-1803,South,BN54 3CE,Smart Meter Exchange,High,48h,2026-06-19T08:00,2026-06-12T09:00,E-0012,BG-SENSO-061,Completed,Failed Visit,True,Traffic
J-00040,CU-9514,North,L64 3KD,Install,High,4h,2026-06-04T08:00,2026-06-01T16:00,E-0081,BG-EV-027,Scheduled,Open,True,Carrier delay
J-00041,CU-6434,North,NE9 3EA,Install,Low,Same Day,2026-06-19T08:00,2026-06-20T15:00,E-0024,BG-BOILE-004,Rescheduled,Complete,False,Traffic
J-00042,CU-4438,Scotland,AB26 4EE,Smart Meter Exchange,Medium,48h,2026-06-04T08:00,2026-06-09T11:00,E-0021,BG-BOILE-067,Completed,Complete,True,None
J-00043,CU-8672,Wales,CF59 5HH,Service,High,Same Day,2026-06-09T08:00,2026-06-12T15:00,E-0024,BG-BOILE-004,Completed,Failed Visit,False,Weather
