sla_id,job_id,shipment_id,SLA_target_time,current_eta,risk_level,breach_probability,recommended_action
SLA-00001,J-00001,SH-00001,2026-06-08T09:00,2026-06-08T09:00,Low,0.15,Switch carrier
SLA-00002,J-00002,SH-00002,2026-06-06T21:00,2026-06-06T21:00,Low,0.04,Pre-position part
SLA-00003,J-00003,SH-00003,2026-06-14T19:00,2026-06-14T19:00,Low,0.04,Pre-position part
SLA-00004,J-00004,SH-00004,2026-06-08T14:00,2026-06-08T14:33,Low,0.13,Pre-position part
SLA-00005,J-00005,SH-00005,2026-06-18T02:00,2026-06-18T03:58,Medium,0.45,Pre-position part
SLA-00006,J-00006,SH-00006,2026-06-17T12:00,2026-06-17T13:32,Medium,0.35,Switch carrier
SLA-00007,J-00007,SH-00007,2026-06-14T08:00,2026-06-14T09:54,Medium,0.44,Reassign engineer
SLA-00008,J-00008,SH-00008,2026-06-20T06:00,2026-06-20T06:00,Low,0.15,Switch carrier
SLA-00009,J-00009,SH-00009,2026-06-07T05:00,2026-06-07T05:00,Low,0.15,Expedite shipment
SLA-00010,J-00010,SH-00010,2026-06-15T22:00,2026-06-15T23:27,Medium,0.33,Expedite shipment
SLA-00011,J-00011,SH-00011,2026-06-14T03:00,2026-06-14T04:50,Medium,0.42,Expedite shipment
SLA-00012,J-00012,SH-00012,2026-06-05T02:00,2026-06-05T02:43,Low,0.17,Pre-position part
SLA-00013,J-00013,SH-00013,2026-06-18T01:00,2026-06-18T01:10,Low,0.04,Pre-position part
SLA-00014,J-00014,SH-00014,2026-06-11T13:00,2026-06-11T13:24,Low,0.09,Expedite shipment
SLA-00015,J-00015,SH-00015,2026-06-03T09:00,2026-06-03T10:34,Medium,0.36,Pre-position part
SLA-00016,J-00016,SH-00016,2026-06-05T18:00,2026-06-05T18:00,Low,0.04,Switch carrier
SLA-00017,J-00017,SH-00017,2026-06-22T00:00,2026-06-22T00:35,Medium,0.28,Expedite shipment
SLA-00018,J-00018,SH-00018,2026-06-12T14:00,2026-06-12T14:25,Low,0.1,Reassign engineer
SLA-00019,J-00019,SH-00019,2026-06-18T13:00,2026-06-18T13:00,Low,0.04,Expedite shipment
SLA-00020,J-00020,SH-00020,2026-06-08T22:00,2026-06-08T23:47,Medium,0.41,Switch carrier
SLA-00021,J-00021,SH-00021,2026-06-05T16:00,2026-06-05T16:45,Low,0.17,Switch carrier
SLA-00022,J-00022,SH-00022,2026-06-20T01:00,2026-06-20T01:31,Low,0.27,Pre-position part
SLA-00023,J-00023,SH-00023,2026-06-19T09:00,2026-06-19T09:00,Low,0.04,Switch carrier
SLA-00024,J-00024,SH-00024,2026-06-12T10:00,2026-06-12T12:23,High,0.7,Expedite shipment
SLA-00025,J-00025,SH-00025,2026-06-21T13:00,2026-06-21T13:44,Low,0.17,Pre-position part
SLA-00026,J-00026,SH-00026,2026-06-05T05:00,2026-06-05T06:07,Low,0.26,Reassign engineer
SLA-00027,J-00027,SH-00027,2026-06-18T08:00,2026-06-18T09:28,Medium,0.34,Expedite shipment
SLA-00028,J-00028,SH-00028,2026-06-17T22:00,2026-06-17T23:14,Medium,0.28,Reassign engineer
SLA-00029,J-00029,SH-00029,2026-06-16T13:00,2026-06-16T13:59,Low,0.23,Reassign engineer
SLA-00030,J-00030,SH-00030,2026-06-02T23:00,2026-06-03T04:44,High,0.96,Pre-position part
SLA-00031,J-00031,SH-00031,2026-06-11T20:00,2026-06-11T20:11,Low,0.04,Switch carrier
SLA-00032,J-00032,SH-00032,2026-06-16T00:00,2026-06-16T00:07,Low,0.04,Switch carrier
SLA-00033,J-00033,SH-00033,2026-06-05T05:00,2026-06-05T05:37,Low,0.14,Switch carrier
SLA-00034,J-00034,SH-00034,2026-06-09T18:00,2026-06-09T18:00,Low,0.04,Switch carrier
SLA-00035,J-00035,SH-00035,2026-06-03T09:00,2026-06-03T09:49,Low,0.19,Expedite shipment
SLA-00036,J-00036,SH-00036,2026-06-06T01:00,2026-06-06T02:07,Low,0.26,Expedite shipment
SLA-00037,J-00037,SH-00037,2026-06-13T19:00,2026-06-13T19:00,Low,0.04,Switch carrier
SLA-00038,J-00038,SH-00038,2026-06-05T19:00,2026-06-05T19:33,Low,0.13,Switch carrier
SLA-00039,J-00039,SH-00039,2026-06-17T00:00,2026-06-17T00:22,Low,0.08,Reassign engineer
SLA-00040,J-00040,SH-00040,2026-06-21T21:00,2026-06-21T21:24,Low,0.09,Reassign engineer
SLA-00041,J-00041,SH-00041,2026-06-12T01:00,2026-06-12T02:23,Medium,0.47,Pre-position part
SLA-00042,J-00042,SH-00042,2026-06-08T21:00,2026-06-08T21:00,Low,0.04,Switch carrier
SLA-00043,J-00043,SH-00043,2026-06-06T07:00,2026-06-06T08:22,Medium,0.47,Reassign engineer
SLA-00044,J-00044,SH-00044,2026-06-13T01:00,2026-06-13T03:49,High,0.65,Expedite shipment
SLA-00045,J-00045,SH-00045,2026-06-08T18:00,2026-06-08T21:45,High,0.87,Expedite shipment
SLA-00046,J-00046,SH-00046,2026-06-22T01:00,2026-06-22T01:00,Low,0.04,Reassign engineer
SLA-00047,J-00047,SH-00047,2026-06-21T05:00,2026-06-21T05:22,Low,0.08,Pre-position part
SLA-00048,J-00048,SH-00048,2026-06-17T19:00,2026-06-17T19:50,Low,0.19,Switch carrier
SLA-00049,J-00049,SH-00049,2026-06-03T04:00,2026-06-03T07:28,High,0.8,Expedite shipment
SLA-00050,J-00050,SH-00050,2026-06-11T02:00,2026-06-11T02:00,Low,0.04,Expedite shipment
SLA-00051,J-00051,SH-00051,2026-06-18T21:00,2026-06-18T21:37,Low,0.14,Switch carrier
SLA-00052,J-00052,SH-00052,2026-06-15T23:00,2026-06-15T23:25,Low,0.1,Switch carrier
SLA-00053,J-00053,SH-00053,2026-06-12T00:00,2026-06-12T00:59,Low,0.23,Expedite shipment
SLA-00054,J-00054,SH-00054,2026-06-16T16:00,2026-06-16T16:00,Low,0.04,Switch carrier
SLA-00055,J-00055,SH-00055,2026-06-16T18:00,2026-06-16T18:43,Low,0.17,Switch carrier
SLA-00056,J-00056,SH-00056,2026-06-20T21:00,2026-06-20T21:00,Low,0.04,Pre-position part
SLA-00057,J-00057,SH-00057,2026-06-20T23:00,2026-06-21T03:03,High,0.93,Pre-position part
SLA-00058,J-00058,SH-00058,2026-06-20T13:00,2026-06-20T13:00,Low,0.04,Pre-position part
SLA-00059,J-00059,SH-00059,2026-06-15T02:00,2026-06-15T02:00,Low,0.15,Pre-position part
SLA-00060,J-00060,SH-00060,2026-06-09T12:00,2026-06-09T12:00,Low,0.04,Reassign engineer
SLA-00061,J-00061,SH-00061,2026-06-02T08:00,2026-06-02T08:46,Low,0.18,Expedite shipment
SLA-00062,J-00062,SH-00062,2026-06-08T01:00,2026-06-08T05:47,High,0.96,Pre-position part
SLA-00063,J-00063,SH-00063,2026-06-08T20:00,2026-06-08T21:00,Medium,0.38,Pre-position part
