event_id,shipment_id,warehouse_id,event_type,event_timestamp,part_id,quantity,status
WMS-00001-0,SH-00001,W-MAN,ASN Received,2026-06-06T16:15,UT-EV-063,23,Completed
WMS-00001-1,SH-00001,W-GLA,Goods Received,2026-06-06T18:16,UT-EV-063,4,Exception
WMS-00001-2,SH-00001,W-COV,Putaway Completed,2026-06-06T20:03,UT-EV-063,13,Open
WMS-00001-3,SH-00001,W-LON,Stock Adjustment,2026-06-06T22:10,UT-EV-063,14,Open
WMS-00001-4,SH-00001,W-LON,Pick Started,2026-06-07T00:22,UT-EV-063,18,Open
WMS-00002-0,SH-00002,W-MAN,ASN Received,2026-06-06T15:06,UT-VALVE-062,2,Open
WMS-00002-1,SH-00002,W-LON,Goods Received,2026-06-06T17:09,UT-VALVE-062,2,Open
WMS-00002-2,SH-00002,W-COV,Putaway Completed,2026-06-06T19:27,UT-VALVE-062,3,Open
WMS-00002-3,SH-00002,W-LON,Stock Adjustment,2026-06-06T21:12,UT-VALVE-062,4,Completed
WMS-00002-4,SH-00002,W-MAN,Pick Started,2026-06-06T23:10,UT-VALVE-062,21,Open
WMS-00003-0,SH-00003,W-LON,ASN Received,2026-06-13T15:57,UT-SENSO-061,23,Completed
WMS-00003-1,SH-00003,W-MAN,Goods Received,2026-06-13T17:07,UT-SENSO-061,15,Completed
WMS-00003-2,SH-00003,W-MAN,Putaway Completed,2026-06-13T19:13,UT-SENSO-061,7,Completed
WMS-00004-0,SH-00004,W-LON,ASN Received,2026-06-07T18:36,UT-METER-055,20,Open
WMS-00004-1,SH-00004,W-COV,Goods Received,2026-06-07T20:11,UT-METER-055,9,Open
WMS-00004-2,SH-00004,W-MAN,Putaway Completed,2026-06-07T22:39,UT-METER-055,20,Exception
WMS-00004-3,SH-00004,W-LON,Stock Adjustment,2026-06-08T00:02,UT-METER-055,13,Open
WMS-00004-4,SH-00004,W-MAN,Pick Started,2026-06-08T02:03,UT-METER-055,24,Open
