route_id,origin,destination,region,distance_miles,planned_time,actual_time,traffic_risk,weather_risk,optimized_route_flag,route_score
R-001,D-LON,W-LON,North,261,5.1,5.7,15,85,True,46.6
R-002,D-WAL,CF10 5JK,Wales,126,3.6,3.9,80,64,False,51.5
R-003,W-COV,W-LON,Scotland,124,2.5,4.8,83,22,False,59.4
R-004,D-MID,W-COV,Midlands,404,10.6,15.0,25,92,False,24.8
R-005,W-MAN,W-COV,London,33,0.9,2.1,89,38,False,66.0
R-006,D-MID,W-COV,Scotland,334,8.4,12.4,45,35,True,40.0
R-007,D-MID,W-GLA,London,245,5.6,7.8,54,38,True,48.3
R-008,W-LON,W-COV,Scotland,199,4.9,8.3,78,15,True,52.6
R-009,W-COV,W-MAN,North,284,7.8,10.0,29,91,False,39.0
R-010,D-STH,D-SCO,Midlands,171,4.0,6.9,69,13,True,58.8
R-011,D-STH,D-WAL,Midlands,188,4.7,5.3,87,52,True,44.4
R-012,D-STH,D-STH,Midlands,178,4.4,4.5,30,54,False,59.5
R-013,W-LON,D-SCO,London,76,1.8,3.5,80,29,True,64.7
R-014,D-WAL,D-MID,Midlands,362,8.6,10.3,71,21,False,32.8
R-015,D-LON,D-MID,North,277,5.8,7.7,61,73,False,35.5
R-016,W-LON,D-LON,Wales,349,9.8,12.5,86,9,True,33.1
R-017,W-LON,D-MID,Midlands,209,5.3,5.3,58,63,True,46.8
R-018,D-WAL,D-STH,Scotland,391,9.2,11.3,26,48,False,35.0
R-019,D-MID,W-GLA,London,52,1.4,2.4,46,9,False,80.2
R-020,D-NTH,W-LON,Midlands,136,2.7,4.6,59,84,False,51.5
R-021,D-WAL,D-STH,Midlands,20,0.5,1.1,35,30,False,82.8
R-022,D-STH,D-STH,South,268,6.6,8.5,75,85,True,30.8
R-023,W-LON,D-SCO,South,379,9.6,13.3,46,82,True,24.7
R-024,D-NTH,YO50 7CH,North,216,4.9,5.5,61,80,True,41.8
R-025,D-NTH,D-STH,North,103,2.0,3.8,70,40,True,61.6
R-026,W-MAN,W-MAN,Midlands,305,8.2,9.0,72,87,True,26.5
R-027,W-GLA,W-GLA,London,34,0.8,1.5,43,32,False,78.6
R-028,W-MAN,D-WAL,North,205,4.1,8.8,77,9,False,53.3
R-029,D-SCO,D-NTH,London,62,1.4,2.3,64,19,True,72.5
R-030,D-WAL,D-WAL,Scotland,309,7.0,7.3,52,72,True,34.0
R-031,D-WAL,D-STH,Wales,402,8.2,10.3,60,11,False,32.5
R-032,D-WAL,W-COV,Midlands,90,2.1,4.0,81,84,False,51.7
R-033,D-LON,W-GLA,Midlands,267,6.5,6.3,49,78,True,38.8
R-034,D-STH,D-STH,Midlands,155,3.1,4.3,49,40,True,60.4
R-035,D-MID,D-SCO,Scotland,338,6.5,8.3,66,6,False,40.0
R-036,D-STH,W-COV,Wales,158,3.5,4.0,19,87,True,58.1
R-037,D-LON,D-SCO,Midlands,353,8.1,10.1,19,16,True,47.9
R-038,D-NTH,D-MID,South,193,5.4,6.0,23,58,False,58.5
R-039,D-NTH,W-MAN,Wales,213,5.3,7.3,25,86,True,49.9
R-040,D-MID,D-STH,Midlands,333,6.5,11.0,64,31,True,36.2
R-041,D-SCO,D-SCO,Wales,159,3.7,5.6,90,14,False,54.8
R-042,W-MAN,D-MID,London,348,8.0,7.5,14,34,False,46.2
R-043,W-COV,D-LON,London,85,1.9,4.0,57,76,True,59.9
R-044,D-WAL,D-MID,Scotland,48,1.1,2.1,58,68,True,65.9
R-045,W-GLA,W-LON,London,60,1.3,2.0,47,14,True,78.0
R-046,D-LON,W-LON,London,375,8.3,12.3,63,34,True,30.6
R-047,D-NTH,D-NTH,Scotland,24,0.6,0.9,25,5,False,89.8
R-048,W-COV,SO68 2EK,South,78,2.2,2.3,11,46,False,78.3
R-049,D-STH,D-SCO,Scotland,273,5.8,11.6,80,25,True,40.9
R-050,W-COV,D-SCO,Wales,41,1.0,2.1,68,50,False,67.9
R-051,D-MID,W-GLA,London,57,1.1,2.4,81,51,True,62.4
R-052,D-MID,D-WAL,Midlands,162,3.7,5.6,47,45,True,59.0
R-053,D-SCO,W-COV,Midlands,206,6.0,6.6,83,67,True,40.1
R-054,D-WAL,W-MAN,London,18,0.4,1.7,92,52,True,64.3
R-055,D-SCO,W-LON,South,161,4.5,5.8,19,9,False,73.3
R-056,W-COV,W-COV,Scotland,321,6.9,8.8,80,11,False,37.7
R-057,D-SCO,D-NTH,Midlands,157,3.7,5.3,37,13,True,68.5
R-058,D-WAL,L34 2BC,North,201,5.1,5.3,34,61,True,54.2
R-059,D-SCO,D-WAL,Wales,185,3.8,6.6,26,15,False,67.4
R-060,D-MID,D-LON,Midlands,302,6.2,7.5,78,35,True,35.8
R-061,D-MID,D-MID,Wales,223,5.9,6.3,55,91,True,40.2
R-062,W-MAN,D-LON,Scotland,187,4.6,5.6,23,9,False,69.1
R-063,W-MAN,W-COV,Wales,113,2.3,3.7,43,39,True,67.3
R-064,D-SCO,D-STH,London,214,5.0,5.3,25,57,False,55.6
R-065,D-WAL,D-LON,North,275,5.5,7.1,49,53,True,42.8
R-066,D-SCO,W-GLA,Midlands,289,5.9,7.0,53,78,True,35.0
R-067,D-NTH,D-LON,Wales,312,6.7,10.1,57,49,True,37.0
R-068,D-WAL,D-SCO,North,114,2.5,5.3,71,73,False,53.4
R-069,D-NTH,D-LON,Scotland,187,5.1,5.7,86,29,True,49.3
R-070,D-STH,D-STH,Scotland,287,7.9,10.5,54,13,False,48.0
