transport_id,vehicle_id,carrier_id,route_id,depot_id,driver_id,distance_miles,planned_duration,actual_duration,fuel_cost,total_cost,capacity_utilization,empty_miles,CO2_emission
T-00001,VH-0180,C-006,R-041,D-WAL,DR-0101,159,3.7,5.6,86.05,865.46,91,36,87.6
T-00002,VH-0020,C-005,R-029,D-WAL,DR-0024,62,1.4,2.3,25.29,112.62,81,15,40.6
T-00003,VH-0058,C-001,R-040,D-NTH,DR-0145,333,6.5,11.0,111.9,1286.63,90,89,283.8
T-00004,VH-0134,C-001,R-056,D-SCO,DR-0004,321,6.9,8.8,168.37,1305.25,81,75,355.3
T-00005,VH-0105,C-003,R-036,D-STH,DR-0125,158,3.5,4.0,81.76,678.25,97,23,132.3
T-00006,VH-0079,C-006,R-053,D-STH,DR-0182,206,6.0,6.6,100.35,1002.15,69,48,221.1
T-00007,VH-0121,C-003,R-054,D-MID,DR-0190,18,0.4,1.7,6.97,75.13,93,4,13.3
T-00008,VH-0054,C-003,R-053,D-MID,DR-0148,206,6.0,6.6,106.87,885.67,73,11,173.8
T-00009,VH-0114,C-005,R-065,D-SCO,DR-0032,275,5.5,7.1,127.13,588.16,72,89,171.9
T-00010,VH-0012,C-003,R-030,D-LON,DR-0219,309,7.0,7.3,110.0,1342.87,83,21,340.9
T-00011,VH-0174,C-005,R-049,D-WAL,DR-0197,273,5.8,11.6,140.14,611.45,88,72,205.9
T-00012,VH-0024,C-005,R-058,D-WAL,DR-0159,201,5.1,5.3,97.64,426.36,98,65,110.6
T-00013,VH-0083,C-005,R-018,D-WAL,DR-0099,391,9.2,11.3,167.68,759.97,80,63,367.7
T-00014,VH-0179,C-002,R-008,D-NTH,DR-0178,199,4.9,8.3,98.06,1002.73,66,49,140.2
T-00015,VH-0130,C-006,R-020,D-MID,DR-0107,136,2.7,4.6,62.72,665.41,67,5,120.8
T-00016,VH-0046,C-002,R-055,D-NTH,DR-0143,161,4.5,5.8,54.47,768.83,94,14,96.2
T-00017,VH-0089,C-002,R-039,D-MID,DR-0106,213,5.3,7.3,118.31,814.49,96,65,219.8
T-00018,VH-0161,C-003,R-018,D-LON,DR-0187,391,9.2,11.3,132.79,1526.12,43,129,265.0
T-00019,VH-0094,C-006,R-027,D-WAL,DR-0168,34,0.8,1.5,18.82,143.98,46,8,33.1
T-00020,VH-0104,C-004,R-003,D-WAL,DR-0145,124,2.5,4.8,60.24,288.39,98,18,109.8
T-00021,VH-0098,C-005,R-065,D-NTH,DR-0151,275,5.5,7.1,145.53,541.78,90,89,237.4
T-00022,VH-0087,C-003,R-040,D-WAL,DR-0158,333,6.5,11.0,166.91,1466.07,87,6,269.9
T-00023,VH-0019,C-001,R-037,D-WAL,DR-0076,353,8.1,10.1,144.16,1506.92,49,102,218.6
T-00024,VH-0059,C-002,R-061,D-MID,DR-0214,223,5.9,6.3,85.84,902.2,81,45,161.1
T-00025,VH-0116,C-003,R-047,D-MID,DR-0147,24,0.6,0.9,8.5,89.73,78,3,19.4
T-00026,VH-0021,C-001,R-053,D-SCO,DR-0158,206,6.0,6.6,81.27,917.15,82,18,211.9
T-00027,VH-0009,C-001,R-051,D-STH,DR-0092,57,1.1,2.4,30.99,224.04,62,15,37.7
T-00028,VH-0064,C-005,R-002,D-MID,DR-0184,126,3.6,3.9,64.47,271.76,66,24,105.1
T-00029,VH-0064,C-004,R-048,D-SCO,DR-0198,78,2.2,2.3,44.73,176.86,57,23,92.3
T-00030,VH-0092,C-006,R-008,D-STH,DR-0035,199,4.9,8.3,76.65,850.33,44,62,198.6
T-00031,VH-0147,C-002,R-037,D-STH,DR-0215,353,8.1,10.1,148.63,1790.46,73,67,216.8
T-00032,VH-0084,C-006,R-059,D-NTH,DR-0106,185,3.8,6.6,95.96,877.18,69,52,221.0
T-00033,VH-0015,C-005,R-028,D-NTH,DR-0090,205,4.1,8.8,112.49,445.15,69,53,123.2
T-00034,VH-0089,C-005,R-068,D-WAL,DR-0168,114,2.5,5.3,37.2,209.27,61,10,76.8
T-00035,VH-0167,C-005,R-068,D-SCO,DR-0060,114,2.5,5.3,65.52,188.41,74,6,84.4
T-00036,VH-0080,C-003,R-029,D-WAL,DR-0085,62,1.4,2.3,27.08,208.4,50,6,40.3
T-00037,VH-0113,C-003,R-024,D-WAL,DR-0126,216,4.9,5.5,107.75,971.61,97,58,249.0
