date,region,weather_condition,temperature,storm_risk,snow_risk,travel_disruption_score
2026-06-01,Scotland,Wind,15,55,12,34
2026-06-01,Wales,Wind,12,45,9,15
2026-06-01,London,Snow,-1,10,70,92
2026-06-01,Midlands,Snow,4,21,17,14
2026-06-01,North,Rain,20,33,17,53
2026-06-01,South,Storm,17,9,10,83
2026-06-02,Scotland,Wind,11,79,16,44
2026-06-02,Wales,Rain,16,32,5,93
2026-06-02,London,Snow,8,28,4,47
2026-06-02,Midlands,Rain,0,15,2,90
2026-06-02,North,Rain,20,10,17,76
2026-06-02,South,Storm,1,25,6,25
2026-06-03,Scotland,Clear,5,27,12,71
2026-06-03,Wales,Storm,8,20,14,66
2026-06-03,London,Snow,11,8,54,74
2026-06-03,Midlands,Fog,20,21,5,65
2026-06-03,North,Rain,15,29,12,8
2026-06-03,South,Fog,6,9,0,69
2026-06-04,Scotland,Storm,13,75,7,39
2026-06-04,Wales,Storm,1,4,13,28
2026-06-04,London,Fog,16,14,7,39
2026-06-04,Midlands,Fog,19,22,11,66
2026-06-04,North,Rain,9,27,5,29
2026-06-04,South,Fog,3,28,15,87
2026-06-05,Scotland,Fog,23,2,1,37
2026-06-05,Wales,Wind,5,47,16,50
2026-06-05,London,Fog,17,30,6,12
2026-06-05,Midlands,Rain,23,29,7,86
2026-06-05,North,Fog,3,10,17,49
2026-06-05,South,Storm,-1,43,5,37
2026-06-06,Scotland,Clear,23,9,10,48
2026-06-06,Wales,Wind,8,56,16,82
2026-06-06,London,Fog,24,14,18,62
2026-06-06,Midlands,Storm,19,8,9,18
2026-06-06,North,Clear,12,30,17,73
2026-06-06,South,Clear,10,37,13,86
2026-06-07,Scotland,Wind,11,86,14,34
2026-06-07,Wales,Snow,11,21,48,82
2026-06-07,London,Clear,8,17,16,90
2026-06-07,Midlands,Wind,22,89,13,68
2026-06-07,North,Fog,6,13,5,27
2026-06-07,South,Snow,1,10,36,74
2026-06-08,Scotland,Snow,9,22,68,64
2026-06-08,Wales,Fog,13,1,0,89
2026-06-08,London,Storm,4,34,8,45
